model,CPU,GPI,Memory,Ethernet ports,Serial ports,USB port,Display port,POE port,WiFi,SATA bay,SSD storage,mSATA,Expansion Slot 1,Expansion Slot 2,Power Input,Shock,Vibe
el10,"Intel E3826 dual-core Atom, operating at 1.46GHz",Integral GPU,4GB (8GB Option),2 x GbE,1 x RS-232 or RS-422/485,2 x USB 2.0 and 1 x USB 3.0,1 x VGA and 1 x HDMI,,2x2 11ac Wi-Fi / BT,1 x 2.5 in SATA HDD bay,32GB SATA SSD,mSATA support via mini-PCIe slot,1 x full-size mini-PCIe expansion slot,1 x half-size mini-PCIe expansion slot,"12 Volts DC, with total consumption, 10.5 Watts typical","3 Grms, IEC 60068-2-64, random, 5 ~ 500 Hz, 1 hr/axis","30 G, IEC 60068-2-27, half sine, 11 ms duration"
el20,"Intel 4300U Dual-core i5, operating at 1.9GHz",GT2-4400 Graphics,8GB,2 x GbE,2 x RS-232/422/485,2 x USB 2.0 and 2x USB 3.0,1 x VGA and 1 x HDMI,4 x POE / 1 X 8 Bit DIO,2x2 11ac Wi-Fi / BT,1 x 2.5 in SATA HDD bay,64GB SATA SSD,mSATA support via mini-PCIe expansion slot,3x full-size mini-PCIe expanison slots,1x half-size mini-PCIe expansion slot,9 to 36 Volts DC input,"3 Grms, IEC 60068-2-64, random, 5 ~ 500 Hz, 1 hr/axis","30 G, IEC 60068-2-27, half sine, 11 ms duration"
